parallelism,bench_id,throughput,latency_mean,latency_max
1,01JZFCS4SBDP2TKRR47KN65S7Y,42.80,45ms429µs638ns,226ms26µs220ns
2,01JZFCVQT4BWXMNRZTN530P1XZ,57.92,150ms608µs245ns,359ms985µs929ns
3,01JZFCXNESZPABDJ22EHNMRWCQ,92.33,156ms928µs791ns,440ms297µs384ns
4,01JZFCYXEVNMKKQ741WAB1R3VA,102.62,163ms190µs819ns,490ms156µs78ns
5,01JZFD01VNMFA2YKASDVM6TNJS,99.14,196ms580µs312ns,581ms91µs858ns
6,01JZFD15ZDC99MQ7A0N3PBZG8Z,109.31,203ms833µs977ns,713ms358µs40ns
7,01JZFD28978RGHDQZ0YHWP2B38,97.81,236ms257µs818ns,793ms698µs202ns
8,01JZFD3EVTAKB0FF1CJYCZDMD4,118.48,205ms153µs826ns,673ms430µs230ns
1,01JZFD4ED571JZNNR6PN1G1EF2,45.96,42ms171µs852ns,118ms387µs586ns
2,01JZFD6VSTJ2TBRYQJZ9Z84SHP,60.96,158ms307µs79ns,537ms606µs234ns
3,01JZFD8QGMXTKKP1ZF7E3H1WYQ,90.22,159ms555µs576ns,447ms823µs150ns
4,01JZFD9ZJ4H3VDT8DEM3Q4TKZ4,113.68,139ms63µs312ns,446ms736µs44ns
5,01JZFDAZYAXMZ47PG8K2HWW0V8,104.75,190ms587µs520ns,593ms58µs31ns
6,01JZFDC26DFTCC3NGQGTMRGQCW,121.01,177ms768µs746ns,467ms259µs783ns
7,01JZFDD0K5RRY86ZH10RJY5EA2,109.12,221ms23µs61ns,740ms50µs76ns
8,01JZFDE2YBVMQ3SWBB1VDHJ0Z9,125.76,195ms537µs562ns,626ms853µs155ns
